skill,count,source,reason,suggested_canonical
大規模製造業,852,案件,親canonical不明（要松野確認）,
自動車業界,852,案件,親canonical不明（要松野確認）,
PG,686,案件,親canonical不明（要松野確認）,
情報処理安全確保支援士,673,案件,親canonical不明（要松野確認）,
SC周りのFDS/CS品質チェック,670,案件,親canonical不明（要松野確認）,
英語読み書き経験,670,案件,親canonical不明（要松野確認）,
企業におけるBCP策定経験,670,案件,親canonical不明（要松野確認）,
IAM,658,案件,親canonical不明（要松野確認）,
Amazon Redshift,657,案件,親canonical不明（要松野確認）,
バッチ作成,646,案件,親canonical不明（要松野確認）,
技術検討,632,案件,親canonical不明（要松野確認）,
WBS統制,632,案件,親canonical不明（要松野確認）,
進捗管理·課題管理·ベンダーコントロール,632,案件,曖昧語/非技術の可能性,
手順書未整備環境での実務経験,610,案件,親canonical不明（要松野確認）,
新横浜,521,案件,親canonical不明（要松野確認）,
クライアントワークの経験,494,案件,親canonical不明（要松野確認）,
webシステム開発の上流~下流工程のご経験をお持ちの方,457,案件,親canonical不明（要松野確認）,
ベンダーコントロール経験,423,案件,親canonical不明（要松野確認）,
課題管理経験,419,案件,曖昧語/非技術の可能性,
EC領域,418,案件,親canonical不明（要松野確認）,
拠点常駐での現地対応経験,418,案件,親canonical不明（要松野確認）,
スケジュール管理経験,418,案件,親canonical不明（要松野確認）,
主体的に課題解決を行いながら開発を推進できる,326,案件,親canonical不明（要松野確認）,
システム運用保守,248,案件,親canonical不明（要松野確認）,
運用ツールの作成・開発実務経験,246,案件,親canonical不明（要松野確認）,
システム開発PJにおいて,205,案件,親canonical不明（要松野確認）,
ラキール出身,200,案件,親canonical不明（要松野確認）,
ラキール製品知見,200,案件,親canonical不明（要松野確認）,
Kernel/OSSの知識,182,案件,親canonical不明（要松野確認）,
Debianの知識,182,案件,親canonical不明（要松野確認）,
モデル実装・評価,162,案件,親canonical不明（要松野確認）,
と考えられる。,157,案件,親canonical不明（要松野確認）,
なスキルについて-------------------------------------------------,157,案件,親canonical不明（要松野確認）,
なインプット情報の精査,138,案件,親canonical不明（要松野確認）,
リーダー経験能動的に動け,138,案件,曖昧語/非技術の可能性,
管理,138,案件,親canonical不明（要松野確認）,
東京海上IBMホスト,130,案件,親canonical不明（要松野確認）,
影響調査・分析経験,126,案件,親canonical不明（要松野確認）,
技術調査結果のドキュメント作成経験,126,案件,親canonical不明（要松野確認）,
一般工具,126,案件,親canonical不明（要松野確認）,
社内ユーザー対応,126,案件,親canonical不明（要松野確認）,
主体的にキャッチアップできる方,126,案件,親canonical不明（要松野確認）,
トラブルシュート経験,125,案件,親canonical不明（要松野確認）,
システム管理業務経験,110,案件,親canonical不明（要松野確認）,
運用管理経験,110,案件,親canonical不明（要松野確認）,
に対する経験有無,103,案件,親canonical不明（要松野確認）,
稼働実績の有無,103,案件,親canonical不明（要松野確認）,
Infor M3,96,案件,親canonical不明（要松野確認）,
コードレビュー経験,86,案件,親canonical不明（要松野確認）,
試験,76,案件,親canonical不明（要松野確認）,
自発的に動ける方,73,案件,親canonical不明（要松野確認）,
期間   :2026年7月~,72,案件,親canonical不明（要松野確認）,
明るい方募集,72,案件,親canonical不明（要松野確認）,
開発が一人称問題ない方,72,案件,親canonical不明（要松野確認）,
。英語が必須スキル。7月または8月からの開始。,71,案件,親canonical不明（要松野確認）,
appsflyer,71,案件,親canonical不明（要松野確認）,
criteo)の知識も求められる。,71,案件,親canonical不明（要松野確認）,
。解析ツール(adjust,71,案件,親canonical不明（要松野確認）,
purviewの実装経験が必要,71,案件,親canonical不明（要松野確認）,
運用案件。entra id,71,案件,親canonical不明（要松野確認）,
上位直案件,71,案件,親canonical不明（要松野確認）,
。常駐案件。,71,案件,親canonical不明（要松野確認）,
長期延長可能性あり,71,案件,親canonical不明（要松野確認）,
SNS,69,案件,親canonical不明（要松野確認）,
な人は面談2回の想定,67,案件,親canonical不明（要松野確認）,
マーケティング,67,案件,親canonical不明（要松野確認）,
itサービス,65,案件,親canonical不明（要松野確認）,
ハードウェア知識,59,案件,親canonical不明（要松野確認）,
M365管理運用,58,案件,親canonical不明（要松野確認）,
商品企画,58,案件,親canonical不明（要松野確認）,
UX,58,案件,親canonical不明（要松野確認）,
Web広告における運用またはプランニング経験,58,案件,親canonical不明（要松野確認）,
顧客課題を深掘りし本質的な対話ができるコンサルティング力,58,案件,親canonical不明（要松野確認）,
PdM,58,案件,親canonical不明（要松野確認）,
ゲーム,58,案件,親canonical不明（要松野確認）,
IoT,58,案件,親canonical不明（要松野確認）,
マーケティングコンサル,58,案件,親canonical不明（要松野確認）,
データドリブンマーケター,58,案件,親canonical不明（要松野確認）,
ECサイト運営,56,案件,親canonical不明（要松野確認）,
ITコンサルティング,56,案件,親canonical不明（要松野確認）,
IT分離,56,案件,親canonical不明（要松野確認）,
交渉力,56,案件,親canonical不明（要松野確認）,
NWの基本知識,54,案件,親canonical不明（要松野確認）,
ハードウェア修理,52,案件,親canonical不明（要松野確認）,
メンテナンス,52,案件,親canonical不明（要松野確認）,
ACOS-4,52,案件,親canonical不明（要松野確認）,
acos-4の起動,52,案件,親canonical不明（要松野確認）,
コマンド操作,52,案件,親canonical不明（要松野確認）,
起動・停止操作,52,案件,親canonical不明（要松野確認）,
当事者意識,47,案件,親canonical不明（要松野確認）,
8月~,32,案件,親canonical不明（要松野確認）,
勝どき,32,案件,親canonical不明（要松野確認）,
運行管理システム開発,32,案件,親canonical不明（要松野確認）,
Web アプリケーション開発,24,案件,親canonical不明（要松野確認）,
公共データ連携基盤開発,24,案件,親canonical不明（要松野確認）,
即日,18,案件,親canonical不明（要松野確認）,
hr業界,17,案件,親canonical不明（要松野確認）,
70~75万,16,案件,親canonical不明（要松野確認）,
東日本橋,16,案件,親canonical不明（要松野確認）,
データ分析,11,案件,親canonical不明（要松野確認）,
顧客折衝経験,8,案件,OOVレポート101位以降,
勤怠良い,8,案件,OOVレポート101位以降,
英語力,7,案件,OOVレポート101位以降,
障害対応,7,案件,OOVレポート101位以降,
人物,7,案件,OOVレポート101位以降,
勤怠,7,案件,OOVレポート101位以降,
対企業との折衝経験,6,案件,OOVレポート101位以降,
データ移行／データ整備の実務経験,6,案件,OOVレポート101位以降,
評価データ活用経験,6,案件,OOVレポート101位以降,
HRTech,6,案件,OOVレポート101位以降,
医療・介護領域,6,案件,OOVレポート101位以降,
マーケットプレイス領域,6,案件,OOVレポート101位以降,
0→1フェーズやMVP開発,6,案件,OOVレポート101位以降,
常駐可能,6,案件,OOVレポート101位以降,
コミュニケーションスキル,6,案件,OOVレポート101位以降,
男性,6,案件,OOVレポート101位以降,
英語,6,案件,OOVレポート101位以降,
電話対応,5,案件,OOVレポート101位以降,
リリース工程,5,案件,OOVレポート101位以降,
ビルドツール,5,案件,OOVレポート101位以降,
インサイドセールス,4,案件,OOVレポート101位以降,
テレアポ,4,案件,OOVレポート101位以降,
コードレビュー,4,案件,OOVレポート101位以降,
チーム開発,4,案件,OOVレポート101位以降,
データ集計,4,案件,OOVレポート101位以降,
CSIRT,4,案件,OOVレポート101位以降,
長期参画,4,案件,OOVレポート101位以降,
JCL,4,案件,OOVレポート101位以降,
RDS,4,案件,OOVレポート101位以降,
自走,4,案件,OOVレポート101位以降,
調整能力,4,案件,OOVレポート101位以降,
VB,4,案件,OOVレポート101位以降,
金融,4,案件,OOVレポート101位以降,
システム運用,4,案件,OOVレポート101位以降,
若手,4,案件,OOVレポート101位以降,
技術支援,3,案件,OOVレポート101位以降,
フルフレックス,3,案件,OOVレポート101位以降,
動画編集,3,案件,OOVレポート101位以降,
プロダクトマネージャー,3,案件,OOVレポート101位以降,
プロダクトのKPIを伸ばした経験,3,案件,OOVレポート101位以降,
自身でプロダクトを作った経験,3,案件,OOVレポート101位以降,
スピード感を持って仮説検証を回せる,3,案件,OOVレポート101位以降,
プロダクトや事業全体を俯瞰して考えられる,3,案件,OOVレポート101位以降,
変化や不確実性を前向きに捉え、学びながら進める,3,案件,OOVレポート101位以降,
情報を自ら取りに行き、自律的に課題を解決,3,案件,OOVレポート101位以降,
デザイン,3,案件,OOVレポート101位以降,
SA,3,案件,OOVレポート101位以降,
自動化運用,3,案件,OOVレポート101位以降,
バージョンアップのプロジェクト管理,3,案件,OOVレポート101位以降,
ディレクター経験,3,案件,OOVレポート101位以降,
リードプランナー経験,3,案件,OOVレポート101位以降,
Webシステム／アプリ開発実務経験,3,案件,OOVレポート101位以降,
大規模システム立ち上げ・リプレイス経験,3,案件,OOVレポート101位以降,
不動産業界知見,3,案件,OOVレポート101位以降,
B2B業務支援システム開発,3,案件,OOVレポート101位以降,
システム開発実装知識,3,案件,OOVレポート101位以降,
TCA,3,案件,OOVレポート101位以降,
テックリード,3,案件,OOVレポート101位以降,
商談管理,3,案件,OOVレポート101位以降,
顧客管理,3,案件,OOVレポート101位以降,
レガシーシステムのリファクタリング経験,3,案件,OOVレポート101位以降,
OS／ミドルウェアEOL対応経験,3,案件,OOVレポート101位以降,
OS／ミドルウェアのEOL対応やバージョンアップの実務経験,3,案件,OOVレポート101位以降,
オンプレ環境のリプレース／刷新経験,3,案件,OOVレポート101位以降,
OpenID Connect,3,案件,OOVレポート101位以降,
JWT,3,案件,OOVレポート101位以降,
Bicep,3,案件,OOVレポート101位以降,
ARMテンプレート,3,案件,OOVレポート101位以降,
ビジネスインテリジェンス,3,案件,OOVレポート101位以降,
分析結果のレポーテング,3,案件,OOVレポート101位以降,
コミュ力高い方,3,案件,OOVレポート101位以降,
女性,3,案件,OOVレポート101位以降,
SVN,3,案件,OOVレポート101位以降,
ゲームUI,3,案件,OOVレポート101位以降,
Heroku,3,案件,OOVレポート101位以降,
オンプレの運用保守,3,案件,OOVレポート101位以降,
スピード感のある対応,3,案件,OOVレポート101位以降,
自分の担当外に関心を持ち対話できる,3,案件,OOVレポート101位以降,
大規模システムの開発・刷新経験,3,案件,OOVレポート101位以降,
コンサルティング,3,案件,OOVレポート101位以降,
CISSP,3,案件,OOVレポート101位以降,
CISM,3,案件,OOVレポート101位以降,
日本語力,3,案件,OOVレポート101位以降,
財務,3,案件,OOVレポート101位以降,
法務,3,案件,OOVレポート101位以降,
人事,3,案件,OOVレポート101位以降,
ITコンサルタント,3,案件,OOVレポート101位以降,
夜勤含む3交代制,3,案件,OOVレポート101位以降,
JD NET/NHIの経験,3,案件,OOVレポート101位以降,
EDIの経験,3,案件,OOVレポート101位以降,
製薬業でのIT経験,3,案件,OOVレポート101位以降,
