key,canonical,reject_code,note
4hana 販売領域の導入もしくは運用保守経験,運用保守,R1,助詞含み
75万】java基本設計〜,Java,R3,求人ノイズ記号含み
ai(claudeやcodex,Claude,R1,助詞含み
ai/ml組み込み経験,AI,R4,危険canonical=AI
ai/ml要件の仕様化経験,AI,R1,助詞含み
aim,AI,R4,危険canonical=AI
aixのご経験,AIX,R1,助詞含み
aiを使用した開発経験,開発経験,R1,助詞含み
aiを取り入れたデザイン業務,AI,R1,助詞含み
aiエージェント設計,設計,R4,危険canonical=設計
aiカタログ,AI,R4,危険canonical=AI
aiカタログ基盤,AI,R4,危険canonical=AI
aiガバナンス,AI,R4,危険canonical=AI
aiガバナンスの基礎知識,AI,R1,助詞含み
aiガバナンス関連の開発,AI,R1,助詞含み
aiガバナンス関連開発,AI,R4,危険canonical=AI
aiゲートウェイ,AI,R4,危険canonical=AI
aiゲートウェイ等の知識および実装経験,AI,R1,助詞含み
aiコーディング,AI,R4,危険canonical=AI
aiツール,AI,R4,危険canonical=AI
aiツールの活用,AI,R1,助詞含み
aiツール活用,AI,R4,危険canonical=AI
ai活用,AI,R4,危険canonical=AI
ai関連のプロジェクト参画経験,AI,R1,助詞含み
ai関連サービス,AI,R4,危険canonical=AI
ai関連プロジェクト(アジャイル形式,AI,R2,日本語15字超
ai関連基盤の構築経験,構築経験,R1,助詞含み
ai関連基盤構築,構築,R4,危険canonical=構築
androidアプリのe2eテスト実装経験,Android,R1,助詞含み
androidアプリの開発経験,Android,R1,助詞含み
ansible)経験,Ansible,R15,括弧/カンマ含み
ansible利用経験1年以上,Ansible,R13,求人文脈語含み
apache/tomcat等のweb/apサーバの基本理解 運用経験,Tomcat,R1,助詞含み
api,API,R9,短英字キー(api)
apiを伴うwebアプリケーションの理解,API,R1,助詞含み
apiテスト,テスト,R4,危険canonical=テスト
apiポリシーの定義 カスタマイズ経験,API,R1,助詞含み
api接続の知識,API,R1,助詞含み
aras plmシステム開発およびawsインフラ構築エンジニア,インフラ,R2,日本語20字超
aruba(cx switch、central、無線ap)の経験,Aruba,R1,助詞含み
aruba製品(無線lan機器、aruba central)の導入/運用経験,Aruba,R1,助詞含み
aws athena,AWS,R4,危険canonical=AWS
aws cli,AWS,R4,危険canonical=AWS
aws glue,AWS,R4,危険canonical=AWS
aws iam設定 修正,AWS,R2,空白2個以上
aws sagemaker,AWS,R4,危険canonical=AWS
"aws(dynamodb, sqs",DynamoDB,R15,括弧/カンマ含み
aws(dynamodb、sqs)の基本知識,DynamoDB,R1,助詞含み
awsの環境構築経験,構築経験,R1,助詞含み
awsの経験,AWS,R1,助詞含み
awsの設計経験,AWS,R1,助詞含み
awsへの移行案件のリーダー経験,リーダー,R1,助詞含み
awsアーキテクチャ設計,AWS,R4,危険canonical=AWS
awsコンソールでの作業経験,AWS,R1,助詞含み
awsサービス経験,AWS,R4,危険canonical=AWS
aws上流からの経験,AWS,R1,助詞含み
aws主要サービス(glue/step functions/redshift等)の実務経験,AWS,R1,助詞含み
aws主要サービス(step functions,AWS,R15,括弧/カンマ含み
aws主要サービス(step functions、aws glue、amazon redshift、s3、iam、vpc,AWS,R2,空白3個以上
aws基盤構築および運用保守経験,運用保守,R2,日本語13字超
aws案件,AWS,R4,危険canonical=AWS
aws案件でのpj推進経験,AWS,R1,助詞含み
aws構築経験豊富な方,構築経験,R4,危険canonical=構築経験
aws環境,AWS,R4,危険canonical=AWS
aws環境での,AWS,R1,助詞含み
aws環境での開発経験,開発経験,R1,助詞含み
aws環境におけるネットワーク設計,ネットワーク設計,R1,助詞含み
aws設計,AWS,R4,危険canonical=AWS
aws設計 構築,AWS,R4,危険canonical=AWS
aws設計/構築経験,構築経験,R4,危険canonical=構築経験
aws認定資格(solutions architect、database,Database,R3,求人ノイズ記号含み
aws運用保守,AWS,R4,危険canonical=AWS
azure ai foundryを活用したai基盤構築経験,Azure,R1,助詞含み
azure api management for ai,Azure,R2,英数27字超
azure api management(apim)を用いたapiゲートウェイの設計 構築 運用経験,Azure,R1,助詞含み
azure landing zone,Azure,R2,空白2個以上
azure or aws,Azure,R2,空白2個以上
azure の操作 (特にネットワーク,ネットワーク,R1,助詞含み
azureの主要リソース,Azure,R1,助詞含み
azureの構築イメージ,Azure,R1,助詞含み
azureまたはmicrosoft fabric環境におけるガバナンス設定 実装経験,Azure,R1,助詞含み
azureサービスのiac化経験,Azure,R1,助詞含み
azure環境での経験,Azure,R1,助詞含み
azure環境におけるアプリケーションまたはインフラ開発経験,Azure,R1,助詞含み
azure設計 構築経験5年以上,Azure,R13,求人文脈語含み
base,SE,R4,危険canonical=SE
big-ip設計構築,構築,R4,危険canonical=構築
bi運用保守経験,運用保守,R4,危険canonical=運用保守
bpr企画 実行,実行,R4,危険canonical=実行
c# (.net 10,.NET,R2,空白2個以上
c#.,C#,R9,短英字キー(c#.)
c#/.net開発経験,開発経験,R4,危険canonical=開発経験
c#かc++の経験,C++,R1,助詞含み
c#での開発経験,開発経験,R1,助詞含み
c#の実務経験,C#,R1,助詞含み
canの開発経験,開発経験,R1,助詞含み
cdk,AWS CDK,R9,短英字キー(cdk)
cdパイプライン構築経験,構築経験,R4,危険canonical=構築経験
ci/cd環境の構築 運用経験,CI/CD,R1,助詞含み
cisco機器の構築,Cisco,R1,助詞含み
cisco機器の構築 保守経験3年以上,Cisco,R1,助詞含み
cisco製品でのnw構築、設定変更経験,Cisco,R1,助詞含み
cloudtrail,AI,R4,危険canonical=AI
crm案件pm/pl,PL,R4,危険canonical=PL
crowdstrikeのログ分析経験,ログ,R1,助詞含み
databricksの構築に携わった経験,Databricks,R1,助詞含み
"dau10万以上サービスでのrails, rds, kvsのチューニング経験",AI,R1,助詞含み
dbt を用いたデータモデリング,データモデリング,R1,助詞含み
dbtを用いた分析基盤の開発 運用経験,運用経験,R1,助詞含み
dbやsqlの業務経験や基礎知識,SQL,R1,助詞含み
db操作,DB,R4,危険canonical=DB
db移行経験,DB,R4,危険canonical=DB
db設計経験,設計,R4,危険canonical=設計
dockerの仮想環境での開発経験,Docker,R1,助詞含み
ds8k設計構築,構築,R4,危険canonical=構築
dwh(etl)運用保守経験,運用保守,R15,括弧/カンマ含み
dynamics365 finance and operations,Dynamics,R2,英数34字超
ecsでの運用経験,運用経験,R1,助詞含み
ecプラットフォームの開発経験,開発経験,R1,助詞含み
emlinuxの知見,Linux,R1,助詞含み
enterprise pl/iのバージョン(v6.1などv6以降)経験,PL,R1,助詞含み
entra id/active directory,Active Directory,R2,空白2個以上
entraid,AI,R4,危険canonical=AI
eset等のセキュリティ製品運用経験,セキュリティ,R1,助詞含み
etl ジョブスケジューラ dwhの理解,ジョブスケジューラ,R1,助詞含み
etl ジョブスケジューラ dwhの移行経験,ジョブスケジューラ,R1,助詞含み
etl ジョブスケジューラ dwhの設計または実装経験,ジョブスケジューラ,R1,助詞含み
etlツールでの開発の知見,ETL,R1,助詞含み
euc構築,構築,R4,危険canonical=構築
excel(関数,Excel,R15,括弧/カンマ含み
excelvbaでの豊富な開発経験,Excel,R1,助詞含み
flutterを用いたios,Flutter,R1,助詞含み
fortigateに限らずnwの設計,FortiGate,R1,助詞含み
fortigateのバージョンアップ経験,FortiGate,R1,助詞含み
fortigateの設計 構築実績,FortiGate,R1,助詞含み
freshservice,SE,R4,危険canonical=SE
githubを使ったpullrequestベースでのチーム開発の経験,GitHub,R1,助詞含み
githubを用いたチーム開発経験,GitHub,R1,助詞含み
googlespredseet,SE,R4,危険canonical=SE
go言語開発経験,開発経験,R4,危険canonical=開発経験
grc,GRC,R9,短英字キー(grc)
hirdb,DB,R4,危険canonical=DB
htmlの実務経験または知見,HTML,R1,助詞含み
hubspotの実務経験(crm/sfa領域,HubSpot,R1,助詞含み
hubspotの日常運用/保守経験,HubSpot,R1,助詞含み
hulftを用いたデータ伝送の経験,HULFT,R1,助詞含み
iac,Terraform,R9,短英字キー(iac)
iac(ansible,Ansible,R15,括弧/カンマ含み
iac(terraform,Terraform,R15,括弧/カンマ含み
iacでの構築経験,構築経験,R1,助詞含み
iam設計,設計,R4,危険canonical=設計
ibm系ai基盤,AI,R4,危険canonical=AI
ibm系ai基盤(openshift)のインフラ設計,OpenShift,R1,助詞含み
ibm系ai基盤(openshift)インフラ設計,OpenShift,R15,括弧/カンマ含み
ibpにおけるデータ要件定義,要件定義,R1,助詞含み
ifテスト計画,テスト,R4,危険canonical=テスト
ifテスト計画 (計画書作成,テスト,R15,括弧/カンマ含み
iij seil/x4の経験,SE,R1,助詞含み
im)設計,設計,R15,括弧/カンマ含み
intra-martローコード開発経験,開発経験,R4,危険canonical=開発経験
intuneでのデバイス管理,Microsoft Intune,R1,助詞含み
intuneやjamfを用いたプロファイル作成 デバイス制御,Jamf,R1,助詞含み
ios開発経験10年以上,iOS開発,R13,求人文脈語含み
itのヘルプデスク経験2年以上,ヘルプデスク,R1,助詞含み
itサービス アプリケーションのプロジェクトリーダー経験(2年以上,リーダー,R1,助詞含み
java spring boot,Spring,R2,空白2個以上
java2年以上,Java,R4,危険canonical=Java
javase,Java,R4,危険canonical=Java
